text,title
"Rayford Steele and Buck Williams fear they are alone. Each has survived the wrath of the Lamb, a global earthquake in the twenty-first month of the Tribulation. Neither knows the other is alive, and each is frantically searching for his wife. Their mentor, Tsion Ben-Judah, is trapped beneath the rubble of their church. And no one knows what has happened to their old friend Hattie Durham.As the world hurtles toward the Trumpet Judgments and the great soul harvest prophesied in Scripture, Rayford and Buck begin searching for their loved ones from different corners of the world.",Soul Harvest : The World Takes Sides
"""Aldous Huxley is the greatest 20th century writer in English."" —Chicago Tribune Aldous Huxley is rightly considered a prophetic genius and one of the most important literary and philosophical voices of the 20th Century, and Brave New World is his masterpiece. From the author of The Doors of Perception, Island, and countless other works of fiction, non-fiction, philosophy, and poetry, comes this powerful work of speculative fiction that has enthralled and terrified readers for generations. Brave New World remains absolutely relevant to this day as both a cautionary dystopian tale in the vein of the George Orwell classic 1984, and as thought-provoking, thoroughly satisfying entertainment. ",Brave New World And Brave New World Revisited
"Rayford Steele continues his search for the truth amidst global chaos when the Rapture causes the disappearance of Christians all over Earth, in twelve episodes originally presented as radio broadcasts.",Tribulation Force : An Experience in Sound and Drama
"Aglirta is known as the Kingless Land. Once a prosperous and peaceful river valley, it has fallen into lawlessness, and its feuding baronies are engaged in a constant state of war. But the land is kingless no more, for the Sleeping King of legend, King Kelgrael, has been reawakened by the efforts of the valiant Band of Four: - Hawkril, a bold and brave warrior gifted with great strength and fortitude- Craer, the crafty and clever thief- Sarasper, the learned and wise healer and last but not least- Lady Embra Silvertree, the mystical Lady of Jewels, a powerful sorceressYet peace has not returned. In The Kingless Land, high magic and wizard kings stood in the way, while in The Vacant Throne, civil wars and backstabbing barons resisted the restoration of order. Now, a powerful warlord comes to the front to take control through military might, while the diabolic minions of the Serpent move into position for a climactic battle that will scar the Band of Four forever. Aglirta is known as the Kingless Land. Once a prosperous and peaceful river valley, it has fallen into lawlessness, and its feuding baronies are engaged in a constant state of war. But the land is kingless no more, for the Sleeping King of legend, King Kelgrael, has been reawakened by the efforts of the valiant Band of Four: - Hawkril, a bold and brave warrior gifted with great strength and fortitude- Craer, the crafty and clever thief- Sarasper, the learned and wise healer and last but not least- Lady Embra Silvertree, the mystical Lady of Jewels, a powerful sorceressYet peace has not returned. In The Kingless Land, high magic and wizard kings stood in the way, while in The Vacant Throne, civil wars and backstabbing barons resisted the restoration of order. Now, a powerful warlord comes to the front to take control through military might, while the diabolic minions of the Serpent move into position for a climactic battle that will scar the Band of Four forever.",Dragon's Ascension : A Tale of the Band of Four
"When Vicki and Darrion get trapped in Wisconsin, Natalie does her best to try to rescue them, while in the meantime, Judd and Lionel are just in time to witness the Antichrist in action.",Wildfire
"Following a nuclear war in the northern hemisphere, the inhabitants of a small Australian community await the inevitable after-effects of the bombs to reach them",On the Beach
"Michael Crichton's Prey is a terrifying page-turner that masterfully combines a heart–pounding thriller with cutting-edge technology.Deep in the Nevada desert, the Xymos Corporation has built a state-of-the-art fabrication plant, surrounded by miles and miles of nothing but cactus and coyotes. Eight people are trapped. A self-replicating swarm of predatory molecules is rapidly evolving outside the plant. Massed together, the molecules form an intelligent organism that is anything but benign. More powerful by the hour, it has targeted the eight scientists as prey. They must stop the swarm before it is too late…In Prey, Michael Crichton combines scientific brilliance with relentless pacing to create an electrifying, chilling techno-thriller",Prey
"Blair's new translation of Plato's Republic is more readable and accessible than any translation on the market. Blair makes a persuasive case for using ""honesty"" rather than ""morality"" when translating a key Greek term.",Plato's Republic for Readers : A Constitution
A young scientist discovers the secret of creating life and accidentally unleashes a monstrous being on the world. Book available.,Frankenstein : The Original 1816 Classic
"A group of ""settlers"" (more like survivors) arrive in Virginia from the ravished island of Manhattan, intending to establish an outpost, find oil, and exploit the Indians controlling the area. But nothing goes quite as planned (one settler, for instance, keeps losing body parts). At the heart of the story is Pocahontas, who speaks Valley Girl, Ebonics, Old English, and Algonquin?sometimes all in the same sentence. And she pursues a heated romance with settler Johnny Rolfe via text messaging, instant messaging, and, ultimately, telepathy.Deadly serious and seriously funny, Matthew Sharpe’s fictional retelling of one of America's original myths is a history of violence, a cross-cultural love story, and a tragicomic commentary on America’s past and present.",Jamestown
"On a desolate tropical island, a shipwrecked British seaman tries to master his hostile environment and remain civilized",Robinson Crusoe
"War seethed across the planet. Machines soared through the air, churned through the seas, crawled across the surface, pushing ever forward, carrying death.Earth was engaged in titanic struggle. Germany, Russia, France, China, Japan: the maps were changing day by day. The hostilities spread in ever-widening ripples of destruction: Britain, Italy, Africa...The fate of the world hung in the balance.Then the real enemy came.Out of the dark of night, out of the soft glow of dawn, out of the clear blue sky came an invasion force the likes of which Earth had never known - and worldwar was truly joined.The invaders were inhuman and they were unstoppable. Their technology was far beyond our reach, and their goal was simple. Fleetlord Atvar had arrived to claim Earth for the Empire. Never before had Earth's people been more divided. Never had the need for unity been greater. And grudgingly, inexpertly, humanity took up the challenge.In this epic novel of alternate history, Harry Turtledove takes us around the globe. We roll with German panzers; watch the coast of Britain with the RAF; and welcome alien-liberators to the Warsaw ghetto. In tiny planes we skim the vast Russian steppe, and we push the envelope of technology in secret labs at the University of Chicago. Turtledove's saga covers all the Earth, and beyond, as mankind - in all its folly and glory - faces the ultimate threat; and a turning point in history shows us a past that never was and a future that could yet come to be...",Worldwar : In the Balance
A monk strives to preserve spiritual life and wisdom in the years following a nuclear holocaust,Canticle for Leibowitz
"The central work of one of the West's greatest  philosophers, The Republic of Plato is a masterpiece of  insight and feeling, the finest of the Socratic  dialogues, and one of the great books of Western  culture. This new translation captures the dramatic  realism, poetic beauty, intellectual vitality, and  emotional power of Plato at the height of his powers.  Deftly weaving three main strands of argument into an  artistic whole--the ethical and political, the aesthetic  and mystical, and the metaphysical--Plato explores in  The Republic the elements of the ideal community, where morality can be achieved in a balance of wisdom,  courage, and restraint.About the Series: For over 100 years Oxford World's Classics has made available the broadest spectrum of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, voluminous notes to clarify the text, up-to-date bibliographies for further study, and much more.",Republic
"Oryx and Crake is at once an unforgettable love story and a compelling vision of the future. Snowman, known as Jimmy before mankind was overwhelmed by a plague, is struggling to survive in a world where he may be the last human, and mourning the loss of his best friend, Crake, and the beautiful and elusive Oryx whom they both loved. In search of answers, Snowman embarks on a journey–with the help of the green-eyed Children of Crake–through the lush wilderness that was so recently a great city, until powerful corporations took mankind on an uncontrolled genetic engineering ride. Margaret Atwood projects us into a near future that is both all too familiar and beyond our imagining.",Oryx and Crake
"While walking in the Swiss Alps, two English travellers fall into a space-warp, and suddenly find themselves in another world. In many ways the same as our own - even down to the characters that inhabit it - this new planet is still radically different, for the two walkers are now upon a Utopian Earth controlled by a single World Government. Here, as they soon learn, all share a common language, there is sexual, economic, and racial equality, and society is ruled by socialist ideals enforced by an austere, voluntary elite: the 'samurai'. But what will the Utopians make of these new visitors from a less perfect world?A blend of philosophical discussion and imaginative narrative, A Modern Utopia is one of H.G. Well's most positive visions of a possible world.",Modern Utopia
"Defoe's account of the bubonic plague that swept London in 1665 remains as vivid as it is harrowing. Based on Defoe's own childhood memories and prodigious research, A Journal of the Plague Year walks the line between fiction, history, and reportage. In meticulous and unsentimental detail it renders the daily life of a city under siege; the often gruesome medical precautions and practices of the time; the mass panics of a frightened citizenry; and the solitary travails of Defoe's narrator, a man who decides to remain in the city through it all, chronicling the course of events with an unwavering eye. Defoe's Journal remains perhaps the greatest account of a natural disaster ever written.This Modern Library Paperback Classic is set from the original edition published in 1722.",Journal of the Plague Year
"A young woman looks back on her childhood in a harsh orphanage and describes her growing love for the man who employs her as governess in this novel accompanied by related writings, annotations, and criticism","Jane Eyre : Authoritative Text, Backgrounds, Criticism"
"Two of the Grand Master's finest:The saga of the opening of the space frontier as courageous men and women risked their lives to build the first space station and colonize the Moon and Venus, while praying for one last landing on the globe that gave them birth, to return to The Green Hills of Earth.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; From a mysterious region on Earth, where a more advanced lifeform may be studying the interesting creatures called ""humans"", to the first moon colony, where a young girl's relationship with her boyfriend is endangered by the beautiful Menace from Earth. &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Classic Heinlein, in a new Omni-trade format package.",Green Hills of Earth / The Menace from Earth
"Makes scoring higher so easy, it's scary!Millions of readers have enjoyed the chilling tale of Frankenstein for its dark and gripping plot. But did you know that it's also packed with words you need to know for the SAT?Learning words by reading them in context is the most effective way to expand your vocabulary, and this book can help you do just that! This edition of Frankenstein includes:? 629 SAT vocabulary words highlighted throughout the text? Definitions for each highlighted word on the facing page? A word pronunciation guide? Plus a special glossary that defines over 100 additional challenging vocabulary words? It's a pain-free way to build your vocabulary -- and to score higher on the test!World Leader in Test Prep and AdmissionsKaplan has been the world leader in test preparation for more than 60 years, helping more than 3 million students achieve their educational and career goals. With 185 centers and more than 1,200 classroom locations throughout the U.S. and abroad, Kaplan provides a full range of services, including test prep courses, admissions consulting, programs for international students, professional licensing preparation, and more.",Frankenstein : A Kaplan Sat Score-raising Classic
"It's been eight years since the Change rendered technology inoperable across the globe. Rising from the ashes of the computer and industrial ages is a brave new world. Survivors have banded together in tribal communities, committed to rebuilding society. In Oregon's Willamette Valley, former pilot Michael Havel's Bearkillers are warriors of great renown. Their closest ally, the mystical Clan Mackenzie, is led by Wiccan folksinger Juniper Mackenzie, the Queen of Witches. Their leadership has saved countless lives.But not every leader has altruistic aspirations. Norman Arminger, medieval historian and scholar, rules the Protectorate. He has enslaved civilians, built an army, and spread his forces from Portland and throughout most of western Washington State. Now he wants the Willamette Valley farmland, and he's willing to wage war to conquer it.And unknown to both Northwest Pacific factions is the imminent arrival of a ship from Tasmania bearing British soldiers.",Protector's War
"In the wake of a mega-earthquake in 2027 Japan, the virtual-reality entertainment empire Satori Corporation attempts to rescue thousands of people trapped in virtual worlds, including the ten-year-old son of professor Frank Gobi. Reprint.",Rim : A Novel of Virtual Reality
"It's been almost one hundred days since a killer disease wiped out 99% of the population. Three months since the dead reanimated. Survivors are few and far between now, and those who remain stick together to give themselves the best possible chance of continuing to stay alive. They are the last of the living.A band of refugees has taken shelter in a medieval castle – a fortress that has stood strong for hundreds of years. Besieged by the dead, they only emerge when it’s absolutely necessary. As autumn turns to winter, however, the balance of power slowly begins to shift.The unexpected appearance of survivors from another group changes everything. They bring choice, and an alternative way of life which is a far cry from the world everyone has been forced to leave behind. Society as we know it has crumbled beyond repair and things will never be the same again. Some people are ready to embrace this change, others can’t let go of the past. The choice is divisive.Are we entering mankind's final days? In the aftermath of the disease, will the last survivors destroy each other, or will the dead destroy them all?",Autumn : Aftermath
"The hospital patient claiming to be from another planet must be insane, but then strange things start to happen and his story of a utopian world, so similar yet superior to ours, begins to appear both credible and tantalizing. A first novel. (Tie-in to upcoming Universal Pictures film directed by Ian Softly and starring Kevin Spacey & Jeff Bridges.) (Science Fiction & Fantasy)",K-pax
"Three men embark on a series of fantasic undersea adventures aboard the ""Nautilus,"" a technically advanced submarine under the command of the mysterious Captain Nemo.",Twenty Thousand Leagues under the Sea
"After the war is over, a radioactive cloud begins to sweep southwards on the winds, gradually poisoning everything in its path. An American submarine captain is among the survivors left sheltering in Australia, preparing with the locals for the inevitable. Despite his memories of his wife, he becomes close to a young woman struggling to accept the harsh realities of their situation. Then a faint Morse code signal is picked up, transmitting from the United States and the submarine must set sail through the bleak ocean to search for signs of life.On the Beach is Nevil Shute's most powerful novel. Both gripping and intensely moving, its impact is unforgettable.",On the Beach
"After the reigning Pope, Gregory XVII, claims to have received a private revelation, the Cardinals declare he must resign or be declared insane and whether Gregory is a mystic, a lunatic, or an ambitious fanatic remains in question",Clowns of God
"A model for the ideal state includes discussion of the nature and application of justice, the role of the philosopher in society, the goals of education, and the effects of art upon character.",Republic
"An evil world leader proclaims himself the Antichrist, drawing up plans to mark all human beings, but the members of the Tribulation Force are determined to stop him.",La Marca / The Mark : LA Bestia Controla Al Mundo
"Postapocalyptic Fiction and the Social Contract: ""We'll Not Go Home Again"" provides a framework for our fascination with the apocalyptic events. The popular appeal of the end of the world genre is clear in movies, novels, and television shows. Even our political debates over global warming, nuclear threats, and pandemic disease reflect a concern about the possibility of such events. This popular fascination is really a fascination with survival: how can we come out alive? And what would we do next? The end of the world is not about species death, but about beginning again.This book uses postapocalyptic fiction as a terrain for thinking about the state of nature: the hypothetical fiction that is the driving force behind the social contract. The first half of the book examines novels that tell the story of the move from the state of nature to civil society through a Hobbesian, a Lockean, or a Rousseauian lens, including Lucifer's Hammer by Larry Niven and Jerry Pournelle, Alas, Babylon by Pat Frank, Malevil by Robert Merle, and Into the Forest by Jean Hegland. The latter half of the book examines Octavia Butler's postapocalyptic Parable series in which a new kind of social contract emerges, one built on the fact of human dependence and vulnerability.",Postapocalyptic Fiction and the Social Contract : We'll Not Go Home Again
"Three nonbelievers and a pastor search for answers when people suddenly disappear and three-quarters of the world fall to disease and natural disaster as a world leader, who might be the Antichrist, comes to power.",Rapture's Witness
"The only survivors of a nuclear war, six high school students, hiding out in a high-tech bomb shelter, soon discover that they are no longer alone when a new form of terror rises out of the ashes. Original.",Sparrow Rock
"It is August 1944 and the Gestapo is mercilessly rounding up suspected enemies of the Third Reich. When Joseph Engel, a German physicist working on the atomic bomb, finds that he is actually a Jew, adopted by Christian parents, he must flee for his life to neutral Switzerland.Gabi Mueller is a young Swiss-American woman working for the newly formed American Office of Strategic Services (the forerunner to the CIA) close to Nazi Germany. When she is asked to risk her life to safely ""courier"" Engel out of Germany, the fate of the world rests in her hands. If she can lead him to safety, she can keep the Germans from developing nuclear capabilities. But in a time of traitors and uncertainty, whom can she trust along the way?This fast-paced, suspenseful novel takes readers along treacherous twists and turns during a fascinating--and deadly--time in history.",Swiss Courier
"A young woman looks back on her childhood in a harsh orphanage and describes her growing love for the man who employs her as governess in this novel accompanied by related writings, annotations, and criticism",Jane Eyre
"Robinson Crusoe runs away from home to join the navy. After a series of adventures at sea, he is shipwrecked in a devastating storm, and finds himself alone on a remote desert island. He remains there many years, building a life for himself in solitude, until the day he discovers another man’s footprint in the sand.",Robinson Crusoe
"While accompanying their uncle, a wily politician, on a trip from Mars to Earth, Podkayne and her brilliant but pesky younger brother are caught up in a plot to keep Uncle Tom from an important conference",Podkayne of Mars
"Presents the text of Paine's political pamphlet that called for America to declare independence from Great Britain, and includes background information on the American Revolution.",Common Sense
"&quot;A page-turner...Chichton's writing is cinematic, with powerful visual images and nonstop action. This book should come with hot buttered popcorn.&quot;NEWSWEEKA group of American scientists are rushed to a huge vessel that has been discovered resting on the ocean floor in the middle of the South Pacific. What they find defines their imaginations and mocks their attempts at logical explanation. It is a spaceship of phenomenal dimensions, apparently, undamaged by its fall from the sky. And, most startling, it appears to be at least three hundred years old....&quot;The suspense is real.&quot;THE NEW YORK TIMES BOOK REVIEWFrom the Paperback edition.",Sphere
"Hannah Payne's life has been devoted to church and family. But after she's convicted of murder, she awakens in a changed body to a nightmarish new life. In a timely fable about a stigmatized woman struggling to navigate an America of the not-too-distant future, the line between church and state has been eradicated and convicted felons are no longer imprisoned and rehabilitated but ""chromed"" and released back into the population to survive as best they can.",When She Woke
The story of Dr. Frankenstein and the obsessive experiment that leads to the creation of a monstrous and deadly creature is accompanied by essays and poems,"Frankenstein, Or, the Modern Prometheus : With Supplementary Essays and Poems from the Twentieth Century"
"Who has not dreamed of life on an exotic isle, far away from civilization? Here is the novel which has inspired countless imitations by lesser writers, none of which equal the power and originality of Defoe's famous book. Robinson Crusoe, set ashore on an island after a terrible storm at sea, is forced to make do with only a knife, some tobacco, and a pipe. He learns how to build a canoe, make bread, and endure endless solitude. That is, until, twenty-four years later, when he confronts another human being. First published in 1719, Robinson Crusoe has been praised by such writers as James Joyce, Virginia Woolf, and Samuel Johnson as one of the greatest novels in the English language.       @ImNotGilligan  You’d think in a diary about solitude I’d write something emotional, but nah, that’d be so emo. I’m not in the mood.   From Twitterature: The World's Greatest Books in Twenty Tweets or Less   ",Robinson Crusoe
"The central work of one of the West's greatest philosophers, The Republic of Plato is a masterpiece of insight and feeling, the finest of the Socratic dialogues, and one of the great books of Western culture. This new translation captures the dramatic realism, poetic beauty, intellectual vitality, and emotional power of Plato at the height of his powers. Deftly weaving three main strands of argument into an artistic whole--the ethical and political, the aesthetic and mystical, and the metaphysical--Plato explores in The Republic the elements of the ideal community, where morality can be achieved in a balance of wisdom, courage, and restraint.",Republic
"Four teenagers left behind after the Rapture know what awaits them during the upcoming years of the Tribulation, and vow to commit themselves to fighting the enemies of God",Facing the Future
"Inspiring, provocative, prophetic, and enigmatic, Utopia is the literary masterpiece of a visionary statesman and one of the most influential books of the modern world. Based on Thomas More's penetrating analysis of the folly and tragedy of the politics of his time and all times, the book is a seedbed of alternative political institutions and a perennially challenging exploration of the possibilities and limitations of political action.This Norton Critical Edition is built upon the translation that Robert M. Adams created for it in 1975. For the Third Edition, George M. Logan has carefully revised the translation, improving its accuracy while preserving the grace and verve that have made it the most highly regarded modern rendering of More's Renaissance Latin work.""Backgrounds"" includes a wide-ranging selection of the major secular and religious texts---from Plato to Amerigo Vespucci---that informed More's thinking, as well as a selection of the responses to his book by members of his own humanist circle and an overview by G. R. Elton of the condition of England at the time when More wrote.""Criticism"" now offers a more comprehensive survey of modern scholarship, adding excerpts from seminal books by Frederic Seebohm, Karl Kautsky, and Russell Ames, as well as selections from stimulating and influential recent readings by Dominic Baker-Smith and Eric Nelson. In the final section, ""Utopia's Modern Progeny,"" the opening chapter of Aldous Huxley's Brave New World is now complemented by excerpts from another great work in the complex tradition of utopian and dystopian fiction, Ursula K. Le Guin's The Left Hand of Darkness. Throughout the Third Edition, the editorial apparatus has been thoroughly revised and updated, and now includes an index.",Utopia : A Revised Translation Backgrounds Criticism
"It was just a test . . .But something had gone wrong. Terribly wrong. What was to have been a standard ten-day survival test had suddenly become an indefinite life-or-death nightmare.Now they were stranded somewhere in the universe, beyond contact with Earth . . . at the other end of a tunnel in the sky. This small group of young men and women, divested of all civilized luxuries and laws, were being forced to forge a future of their own . . . a strange future in a strange land where sometimes not even the fittest could survive!&quot;. . . fascinating . . . ingenious . . . this a book in the grand tradition of high literature!&quot;-- The New York TimesFrom the Paperback edition.",Tunnel in the Sky
"One terrible act plunges the world into an instant nuclear crisis, and with the American president accused of incompetence, Jack Ryan calls on FBI head Dan Murray to help him avert disaster",Sum of All Fears
"Over a century and a half after its publication, Moby-Dick still stands as an indisputable literary classic. It is the story of an eerily compelling madman pursuing an unholy war against a creature as vast and dangerous and unknowable as the sea itself. But more than just a novel of adventure, more than an encyclopedia of whaling lore and legend, Moby-Dick is a haunting, mesmerizing, and important social commentary populated with several of the most unforgettable and enduring characters in literature. Written with wonderfully redemptive humor, Moby-Dick is a profound and timeless inquiry into character, faith, and the nature of perception. This edition includes a foreword by Nathaniel Philbrick, author of the phenomenal bestseller In the Heart of the Sea, an introduction by Andrew Delbanco, and Notes and Explanatory Commentary by Tom Quirk.  Enriched eBook Features Editor Mary K. Bercaw Edwards provides the following speciallycommissioned features for this Enriched eBook Classic: *  Chronology*  Filmography of Herman Melville’s Moby-Dick(1851)  *  Nineteenth-Century Reviews *  Suggested Further Reading *  Moby-Dick in Popular Culture *  Melville’s Whaling Years *  Cannibal Talk in Moby-Dick *  Sermons in Moby-Dick *  Enriched eBook Notes *  Illustrationsfor Moby-DickThe enriched eBook format invites readers to go beyond the pages of these beloved works and gain more insight into the life and times of an author and the period in which the book was originally written for a rich reading experience.",Moby-dick : A Penguin Enriched Ebook Classic
"A secret society has infiltrated the highest offices in the world with the intention of creating a one-world economy, a goal opposed by pastor John Elder and the Constitutional Rights committee who must struggle to free society as well as the growing number of Christians being jailed as terrorists",Illuminati
"Four friends strengthen their bonds of faith with their recognition of Nicolae Carpathia's role as the Antichrist, and they are forced to deal emotionally and spiritually with the world around them.",Impeachable Offense
"One of the most famous scientific fantasies ever written, this highly imaginative tale focuses on the powers and bold ventures of a scientist, who, after discovering the means to make himself invisible, unleashes a bizarre streak of terror on the inhabitants of an English village. Filled with suspense and psychological nuances of plot.",Invisible Man
A classic story is timed for release with a four-hour NBC mini-series starring Ted Danson and Mary Steenburgen and follows the adventures of a shipwrecked physician who inadvertently visits the tiny Lilliput and gigantic Brobdingnag worlds.,Gulliver's Travels
"Bubbling potions can be bad for your health!  Just ask Dr. Jekyll.  By day, he's a kind doctor.  But by night, he's the merciless kill Mr. Hyde.  And all because of a magic formula.  Will anybody find out the horrible secret of Dr. Jekyll and Mr. Hyde?From the Trade Paperback edition.",Dr. Jekyll and Mr. Hyde
"About the 'neon fuzz': a note on the book jacket from designer Jason Booher...""When you read Harkaway's novel, a gigantic sense of weirdness and cool and doom surround the characters. To capture all that plus the absurd humor that pervades this amazing book, the jacket obviously had to be something special. So the otherworldliness that perhaps only neon fuzz can bring hopes to evoke these feelings and add to the strength of and interplay between the words in the title and author's name.""A wildly entertaining debut novel, introducing a bold new voice that combines antic humor with a stunning futuristic vision to give us an electrifyingly original tale of love, friendship and the apocalypse.There couldn’t be a fire along the Jorgmund Pipe. It was the last thing the world needed. But there it was, burning bright on national television. The Pipe was what kept the Livable Zone safe from the bandits, monsters and nightmares the Go Away War had left in its wake. The fire was a very big problem. Enter Gonzo Lubitsch and his friends, the Haulage & HazMat Emergency Civil Freebooting Company, a team of master troubleshooters who roll into action when things get particularly hot. They helped build the Pipe. Now they have to preserve it—and save humanity yet again. But this job is not all it seems. It will touch more closely on Gonzo’s life, and that of his best friend, than either of them can imagine. And it will decide the fate of the Gone-Away World.Equal parts raucous adventure, comic odyssey, geek nirvana and ultracool epic, The Gone-Away World is a story of—among other things—pirates, war, mimes, greed and ninjas. But it is also the story of a world, not unlike our own, in desperate need of heroes—however unlikely they may seem.",Gone-Away World
Presents the story of an obsessive scientist who creates a living being from the parts of dead bodies who learns to loathe himself and his creator as he develops a mind of his own.,Frankenstein or the Modern Prometheus
"Michael Shinagel has collated the reprint with all six authorizededitions published by Taylor in 1719 to achieve a text that is faithfulto Defoe's original edition.  Annotations assist the reader with obscurewords and idioms, biblical references, and nautical terms.""Contexts"" helps the reader understand the novel’s historical andreligious significance.  Included are four contemporary accounts ofmarooned men, Defoe’s autobiographical passages on the novel’sallegorical foundation, and aspects of the Puritan emblematic traditionessential for understanding the novel’s religious aspects.""Eighteenth-and Nineteenth-Century Opinions"" is a comprehensive studyof early estimations by prominent literary and political figures,including Alexander Pope, Jean-Jacques Rousseau, Samuel Johnson, SamuelTaylor Coleridge, William Wordsworth, Edgar Allen Poe, Thomas BabingtonMacaulay, Charles Dickens, Karl Marx, and John Stuart Mill.""Twentieth-Century Criticism"" is a collection of fourteen essays (fiveof them new to the Second Edition) that presents a variety ofperspectives on Robinson Crusoe by Virginia Woolf, Ian Watt, EricBerne, Maximillian E. Novak, Frank Budgen, James Joyce, George A.Starr, J. Paul Hunter, James Sutherland, John J. Richetti, LeopoldDamrosch, Jr., John Bender, Michael McKeon, and Carol Houlihan Flynn.A Chronology of Defoe’s life and work and an updated SelectedBibliography are also included.","Robinson Crusoe : An Authoritative Text, Contexts, Criticism"
"Tor Classics are affordably-priced editions designed to attract the young reader. Original dynamic cover art enthusiastically represents the excitement of each story. Appropriate ""reader friendly"" type sizes have been chosen for each title—offering clear, accurate, and readable text. All editions are complete and unabridged, and feature Introductions and Afterwords.This edition of Frankenstein includes a Foreword, Biographical Note, and Afterword by Keith Neilson.When obsessed university student Victor Frankenstein finds the secret of animating dead flesh, he tries to create the first of a master race, stitching rotting corpses into a superhuman giant. Then the ghastly thing opens its hideous, soulless eyes and Frankenstein flees into the night, shrieking with horror--Leaving a being who wants love and finds hate, wants friends and finds enemies, wants another and finds no one. Frankenstein is its father, mother, maker and living god, and Frankenstein has abandonded his own monster to a living hell of unutterable isolation. But now, unstoppable, the creature means to get revenge for having been born--Not by killing its creator...but by destroying everything holds dear, and everyone Frankenstein loves...",Frankenstein
"Mitchell (an author and library director) provides a guide to the genre of apocalyptic films, ""focussing in detail on fifty films that illustrate the variety, range and different categories of apocalyptic cinema"" (from the Preface). Entries are arranged alphabetically by title. Basic information follows, including the type of threat the movie portrays, production information, the running length, an annotated cast length, and a subjective quality rating. Mitchell then provides a critical analysis of the film, concluding with representative quotes. An introductory essay provides a working definition and considers the genre's relationship to post-apocalyptic films. Seven major types are described, with examples that are later analyzed in detail. A filmography of 50 additional examples of apocalyptic cinema, a sampling of post-apocalyptic cinema, an appendix on apocalyptic television, and a photo essay are also included. Annotation c. Book News, Inc., Portland, OR (booknews.com)",Guide to Apocalyptic Cinema
"You alone know that the world will end thirty-six years after your birth. Do you succumb to nihilistic apathy? Use your singular knowledge to save mankind? To what end do you live your life?While still in his mother's womb, Junior Thibodeau is encoded with a prophecy: in thirty-six years a comet will obliterate life on Earth. Born to a working-class family in rural Maine, he comes of age in the shabby-decadent eighties, a time of Atari, baseball cards, pop Catholicism, and cocaine, all the while grappling with one question: Does anything I do matter? While Junior searches for meaning in a world only he knows is doomed, the voice that has accompanied him since conception appraises his choices - from sibling rivalry over the cable box to first love in grade school; from crazed misadventures in Chicago to an all-out attempt to cheat death itself. Junior's loved ones, too, reckon with lives that cast his existential crisis into sharp relief: his anxious mother; his older brother, a child cocaine addict turned pro-baseball savant; his exalted father, whose mortal illness summons the best and worst in his sons; and Amy, the love of Junior's life and a North Star to his journey through romance and heartbreak, drug-addled despair, and superheroic feats that might save humanity.As our recognizable world is transformed into a bizarre nation at endgame, where government agents conspire in subterranean bunkers, preparing citizens for emigration from the planet, Junior's final triumph ushers in something else altogether - an astonishing outcome that reconfigures everything we thought we knew about his universe, as well as our own.A coming-of-age tale, a love story, and a marvelous family drama, Everything Matters! drives to the human heart of these characters, and the indelible voices who narrate this American tour de force leave the reader exhilarated.",Everything Matters!
"What a stunning discovery: an old, coded note that actually contains directions for reaching the Earth’s very core! And once he finds it, renowned geologist Professor Liedenbrock can’t resist setting out with his 16-year-old nephew to go where only one man has gone before. Jules Verne takes young readers on one of the most incredible journeys ever imagined, from Iceland’s frozen tundra far down into fantastic underground prehistoric worlds and back up again through the fires of an erupting volcano.",Journey to the Center of the Earth
"Presents the story of Dr. Frankenstein and the obsessive experiment that leads to the creation of a monstrous and deadly creature, and includes a section examining the many film adaptations of the story.",Frankenstein
"An evil world leader has proclaimed himself the Antichrist, drawing up plans to mark all human beings, but the Tribulation Force is determined to stop him.",Mark : The Beast Rules the World
"These literary masterpieces are made easy and interesting. This series features classic tales retold with color illustrations to introduce literature to struggling readers. Each 64-page softcover book retains key phrases and quotations from the original classics. When seaman were sailing only wooden ships, Captain Nemo was the master of his incredible, futuristic submarine, the Nautilus, which journeyed through many strange and adventurous voyages...","20,000 Leagues Under the Sea"
"THE END OF THE WORLD IS HEREUnlocking the secret of the Seven Ancient Wonders was only the beginning...After their thrilling exploits in Matthew Reilly's rampaging New York Times bestseller, 7 Deadly Wonders, supersoldier Jack West Jr. and his loyal team of adventurers are back, and now they face an all-but-impossible challenge.A mysterious ceremony in an unknown location has unraveled their work and triggered a catastrophic countdown that will climax in no less than the end of all life on Earth.But there is one last hope.If Jack and his team can find and rebuild a legendary ancient device known only as the ""Machine,"" they might be able to ward off the coming armageddon. The only clues to locating this Machine, however, are held within the fabled Six Sacred Stones, long lost in the fog of history.And so the hunt begins for the Six Sacred Stones and the all-important knowledge they possess, but in the course of this wild adventure Jack and his team will discover that they are not the only ones seeking the Stones and that there might just be other players out there who don't want to see the world saved at all.From Stonehenge in England to the deserts of Egypt to the spectacular Three Gorges region of China, The 6 Sacred Stones will take you on a nonstop roller-coaster ride through ancient history, modern military hardware, and some of the fastest and most mind-blowing action you will ever read.",6 Sacred Stones
